                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39746,                0.28625,                0.82414,                0.89857,                0.10852,                0.20289,                0.18602,                0.41973,                0.56561,                0.53559,             0.00014185,             0.00014185,             0.00014185
                      2,                0.43483,                0.31872,                0.83387,                0.91393,                0.05195,                0.14752,                0.13594,                0.45878,                0.64981,                0.54646,             0.00027265,             0.00027265,             0.00027265
                      3,                0.43749,                0.32865,                0.83584,                0.89541,                0.04309,                0.13503,                0.12334,                0.42996,                0.60353,                0.53948,             0.00038909,             0.00038909,             0.00038909
                      4,                0.43489,                0.31975,                0.83867,                0.86096,                0.02727,                0.11061,                0.10041,                0.42951,                0.59328,                0.54125,              0.0003704,              0.0003704,              0.0003704
                      5,                0.43644,                0.31761,                 0.8349,                  0.872,                0.04118,                0.16083,                0.14158,                0.44007,                0.63254,                0.54062,              0.0003704,              0.0003704,              0.0003704
                      6,                0.44222,                0.34647,                0.83884,                0.81441,                0.03462,                0.13877,                0.12609,                0.43875,                0.78132,                0.55053,             0.00034887,             0.00034887,             0.00034887
                      7,                0.43304,                0.33056,                0.83545,                0.87386,                0.03044,                0.11521,                0.10577,                 0.4175,                0.58887,                0.53492,             0.00032734,             0.00032734,             0.00032734
                      8,                0.43452,                0.30787,                0.83658,                0.62499,                0.02729,                0.12056,                0.10975,                0.41937,                0.61889,                0.54032,              0.0003058,              0.0003058,              0.0003058
                      9,                0.42748,                0.30142,                0.83059,                0.86096,                0.03462,                0.12776,                 0.1167,                0.44735,                0.62506,                 0.5497,             0.00028427,             0.00028427,             0.00028427
                     10,                0.42215,                 0.2888,                0.82787,                0.76197,                0.02273,                 0.1181,                0.10856,                0.41436,                0.52169,                0.53227,             0.00026274,             0.00026274,             0.00026274
                     11,                0.43209,                 0.2814,                0.82456,                 0.8631,                0.03324,                0.12943,                0.11801,                0.41749,                0.52591,                0.53265,             0.00024121,             0.00024121,             0.00024121
                     12,                0.43106,                0.27446,                0.83212,                0.81579,                 0.0342,                0.10035,                0.09288,                0.41594,                0.51833,                0.53039,             0.00021968,             0.00021968,             0.00021968
                     13,                0.42277,                0.26612,                0.83107,                0.81378,                 0.0301,                0.13616,                0.12703,                0.40321,                0.49566,                0.52926,             0.00019814,             0.00019814,             0.00019814
                     14,                0.41295,                0.24899,                0.82072,                0.76543,                0.03616,                0.15667,                0.14739,                0.39977,                0.49747,                0.52721,             0.00017661,             0.00017661,             0.00017661
                     15,                0.41468,                0.24957,                0.82007,                0.65702,                0.02389,                0.15097,                0.14026,                0.40409,                0.48944,                0.52887,             0.00015508,             0.00015508,             0.00015508
                     16,                0.41032,                0.24903,                0.82893,                0.70705,                0.03126,                0.16039,                0.15018,                0.39805,                0.48449,                0.52825,             0.00013355,             0.00013355,             0.00013355
                     17,                 0.4036,                0.23313,                0.82492,                0.76418,                0.02727,                0.15576,                0.14628,                0.39277,                0.46407,                0.52753,             0.00011201,             0.00011201,             0.00011201
                     18,                0.39707,                0.22558,                0.82249,                0.76817,                0.02611,                0.15882,                0.15005,                0.39267,                0.46463,                0.52814,              9.048e-05,              9.048e-05,              9.048e-05
                     19,                0.40164,                0.22993,                0.82112,                0.71188,                0.02389,                0.16165,                 0.1525,                0.39022,                0.45003,                0.52712,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     20,                0.38476,                0.21804,                0.81518,                0.76589,                 0.0301,                0.16798,                0.15834,                0.38224,                0.44123,                0.52487,             4.7415e-05,             4.7415e-05,             4.7415e-05
